COM-005;Administration des ventes (ADV);1;Gérer le cycle de vie des commandes clients de la saisie à la facturation tout en garantissant la qualité de service.
TRS-001;Agilité professionnelle;2;S’adapter avec flexibilité aux évolutions, changements et imprévus.
DIG-001;Aisance Numérique et Technologique (Tech & Digital Savvy);2;Anticiper et adopter les innovations numériques et technologiques au service de l'entreprise.
MGT-004;Aisance relationnelle;4;Établir des relations positives et constructives avec les autres.
TRS-002;Analyse avancée de données;2;Utiliser des techniques avancées pour analyser des données complexes.
TRS-003;Analyse de Données et BI;2;Collecter, traiter et exploiter des données pour extraire des insights stratégiques.
DIG-009;Analyse de données industrielles;1;Exploiter les données de production pour générer des insights et améliorer la performance opérationnelle.
MNT-004;Analyse de défaillance & fiabilité (RCA / AMDEC);1;Analyser les défaillances complexes et mettre en œuvre des plans d'actions correctifs et préventifs.
FIN-016;Analyse des écarts budgétaires;1;Gérer et optimiser l'analyse des écarts budgétaires, du suivi des méthodes à la définition des modèles de pilotage.
COM-004;Analyse du marché sidérurgique;1;Analyser les tendances du marché, la concurrence et les prix pour orienter les decisions commerciales et stratégiques.
SUP-001;Archivage et gestion des dossiers;1;Organiser, classer et sécuriser les documents physiques et numériques.
MGT-005;Audace;4;Proposer des idées innovantes, prendre des initiatives courageuses.
AUD-004;Audit Opérationnel et Processus;1;Évaluer l’efficacité des processus internes et la maîtrise des risques.
ACH-BO-009;Audit de conformité fournisseurs;1;Réaliser des audits de conformité chez les fournisseurs pour évaluer les risques et garantir l'éthique de la supply chain.
AUD-001;Audit interne;1;Conduire des audits internes pour évaluer la conformité des processus qualité, identifier les écarts et risques, et proposer des recommandations visant à garantir l’amélioration continue et le respect des normes applicables
AIA-003;Automatisation avancée & systèmes autonomes;1;Déployer automatisation et systèmes intelligents
TRS-004;Automatisation et optimisation des processus;2;Identifier, analyser et améliorer les processus existants.
DIG-011;Automatisation intelligente des processus;1;Intégrer des solutions IA pour automatiser la prise de décision et les opérations répétitives.
MGT-006;Autonomie;4;Gérer ses activités et responsabilités de manière indépendante.
HSE-007;Blessures Graves ou Fatales (PSIF) et Contrôles Critiques;1;Identifier et traiter les incidents à haut potentiel de gravité et maintenir les contrôles essentiels pour prévenir les accidents majeurs.
DIG-020;Blockchain appliquée à la Supply Chain;1;Utiliser la blockchain pour assurer la traçabilité et la transparence de la chaîne d'approvisionnement.
FIN-019;Business partnering financier;#N/A;Gérer et optimiser le business partnering financier, de l'application des analyses de base à la définition du rôle stratégique du contrôle de gestion.
TRS-005;Capacité d'analyse et de synthèse;2;Collecter, organiser et interpréter des informations complexes.
MGT-008;Capacité d'influence;3;Orienter les comportements, les décisions ou les actions des parties prenantes.
